,,,,,
text,Thibaut_HS,Naomie_HS,fortune_HS,yolande_HS,GPT_HS
" Punishment is not for revenge, but to lessen crime and reform the criminal  -Elizabeth FryThis homeowner was apparently sick and tired of having his Trump sign stolen, so he provided a little booby-trap for the next sneaky liberal who attempted to steal his personal property. Enjoy:",0 (Neutral),1 (Mild),1 (Mild),0 (Neutral),2
"SWEDEN HELP WANTED: Activities Coordinator for bored illegal alien Muslim freeloaders and rapists Muslim illegal alien invaders taking up space in Sweden and living off the government dole, say they are vandalizing and burning cars (not to mention gang-raping Swedish girls) because they do not have enough “activities” to keep them busy. Friatider “It is clear as hell that we take out our frustration by destroying and vandalizing when we have a shortage of activities here,” one of the illegals living in Skallberget in Vasteras writes in a letter to the editor in the local newspaper VLT. Vasteras has recently been subjected to a long series of car fires. The submitter tries the young man, who wishes to remain anonymous, explain what the phenomenon is due. He writes that he came to Sweden when he was young and admittedly had “good potential” but that he was subject to persistent “racism” by the authorities. (What “race” is Islam?) “Already at an early age became a man treated differently. Sometimes it was because of ethnicity, sometimes because they were at a certain place, and sometimes just to those very people who were in power felt to fuck with us. So many times I had been propped up against the wall and strip-searched in front of my loved ones. It really depressed me and my value, “he writes. The man writes that the young people in the area feel “oppressed” and that they are burning cars to “get the environment to react and listen.” Among other things, he complains that the objectives of the local football field does not have a network and that it is not organized enough “activities” for young people. “In short, it is clear as hell that we take out our frustration by destroying and vandalizing when we have a shortage of activities here. There is neither good fellowship, activities and things / objects we can make use of.” Submitters have received several responses from readers who are critical of the reasoning. “It’s just a matter of time before someone of obtained or ‘the others’ die if this continues. No pity you – all just hate you more and more,” writes , for example, the signature “Former car owners on Skallberget”. 
v",1 (Mild),4 (Hateful),2 (Disrespect),3 (Hostile),4
"The   Islamic state magazine Rumiyah has called on supporters and Islamic State fighters in Germany and Austria to murder moderate Imams who they consider  “apostates. ”[The magazine was released in several languages earlier this week through the various internet channels Islamic State uses to broadcast propaganda to its sympathisers, MEMRI reports. One of the methods used was a “telegram” app, an encrypted messaging service that ISIS often uses and is generally the first place the group takes credit for terror attacks.  The terror group named several prominent members of the Muslim community in both Germany and Austria as potential targets for assassination in an article entitled “Kill the infidel imams in Germany and Austria. ” Among the targets listed is Aiman Mazyek,   of the Central Council of Muslims in Germany. Mazyek has made controversial statements in the past, such as calling for German leaders to limit the number of migrants flowing into the country in late 2015. The Muslim leader has also slammed the   migration Alternative for Germany (AfD) likening them to Nazis after they revealed a platform of   last year. Omar   a Vienna city councilman for the Socialist Party (SPÖ) and a member of the Council Committee on European and International Affairs was also listed as a target.   is also no stranger to controversy  —   in 2010 he led an official condemnation of Israel in the Vienna city hall over the Israeli raids on a flotilla heading for Gaza, which Israeli authorities claimed was not the  humanitarian mission activists stated it to be.   also led a protest against Israel in Vienna. Among the demonstrators were members of the Turkish   nationalist group the Grey Wolves who have clashed with Kurds in Germany and have been accused of trying to infiltrate German Chancellor Angela Merkel’s Christian Democratic Union (CDU) party through its diversity program. Killing Imams they don’t agree with is nothing new for the Islamic State. In 2014 ISIS executed 13 clerics in the city of Mosul whom they deemed to be too moderate. Imam Muhammad al Mansuri was one of the victims of the terror group and was the imam in charge of the mosque in which ISIS leader     gave a rare public appearance to lead prayers. Islamic State killed a further six imams in early 2015 after they condemned the group’s actions when they burned Jordanian pilot Mu’ath Kasasbeh alive.  Follow Chris Tomlinson on Twitter at @TomlinsonCJ or email at ctomlinson@breitbart. com,    ",3 (Hostile),4 (Hateful),4 (Hateful),1 (Mild),4
"When Sharia Law becomes the official law of the EU, see how many bleeding heart liberals will be wishing they could turn back time. It s only a matter of time before the Dutch women will clad in head-to-toe burqas. How very progressive With the mass Muslim migration into Eurabia comes the Islamic law and its attendant misogyny, pedophilia and misogyny. That s to be expected. What was not expected when I began to engage in this fight 15 years ago was the sanction of this brutal and extreme ideology by Western leaders in academia, media and politics.Child brides present at Danish asylum centers, & the leaders allow it! By DioDK, January 27, 2016: That is according to MetroXpress (Denmark s most popular free newspaper)Girls down to the age of 14 seek asylum in Denmark as child brides.The younger ones stay at a special asylum center for children. Many of them have a husband with a residence permit. They are allowed to sleep with their older husbands in the weekends.Several political parties wish to stop this. Naser Khader (very responsible conservative who is pretty much against Islam all together) says that these people should not be allowed to get asylum at all.Sofie Carsten Nielsen from the political party  De radikale  literally translating to  The radicals  says:  It is in regards to the law the same as mismanagement of children. If a 14 year old is married, it must be arranged. The asylum center and police need to respond to this.Integration Minister Inger St jberg (very hated for her stand on immigration) wants to stop that the children are allowed to sleep with their husbands in the weekends.[Age of consent in Denmark is according to a quick Google search 15 years old. You can get married at 18.This is PC out of control. People are so afraid to be called racist that they will go along with ANYTHING and allow ANYTHING from Muslims, even pedophilia.] Via: Pamela Gellar ",2 (Disrespect),4 (Hateful),4 (Hateful),1 (Mild),4
"JERUSALEM (Reuters) - Israel’s intelligence minister said U.S. President Donald Trump’s speech against the 2015 international nuclear deal with Iran on Friday was “very significant” and could lead to war given threats that preceded it from Tehran. Israel’s Channel 2 TV asked Intelligence Minister Israel Katz whether he saw a risk of war after Trump’s speech. “Absolutely, yes. I think that the speech was very significant,” Katz responded. “Iran is the new North Korea. We see where things are goings.” ",2 (Disrespect),0 (Neutral),3 (Hostile),1 (Mild),1
"175 Views Share: Commentary — Seriously, you always hear that we mustn’t deport people because it could break up families. Yet we are encouraging teenagers to run away from their families and try their luck on America’s streets! Latino Invasion Set for New Record 
The New Observer March 2, 2016 
More than 17,000 “unaccompanied alien minors” had invaded the US over the Mexican border in the past few months, and the number of “family units” has increased to 21,000, the US House Judiciary Subcommittee on Immigration and Border Security has been informed. 
The House was also told that if the present trends continue, there will be a 30 percent increase on the record number of 260,000 invaders who entered the US in 2014. 


“In the past few months the number of unaccompanied alien minors unlawfully entering the US soared to over 17,000 and the number of family units increased to 21,000,” Chair Rep. Trey Gowdy (R-SC) informed the US House Judiciary Subcommittee on Immigration and Border Security in a February 4 hearing on Capitol Hill. 
“If these trends continue it is predicted there will be a 30 percent increase in the record high numbers we witnessed in 2014.” 
The widespread criminal violence endemic in the nonwhite Third World countries to the south continues to be a major factor in the ongoing invasion, Omar Zamora, public affairs officer for the US Border Patrol Rio Grande Valley (RGV) Sector told the local KVUE TV station. 
“We’ve got gangs over there that are controlling the neighborhoods, controlling the cities,” Zamora said. 
Agents of the RRGV Sector, he said, “man the front lines of the battle against drug trafficking and human smuggling.” 
The US government has mounted an ad campaign along the Guatemala–Honduras border warning would-be invaders what to expect from human traffickers. 
According to Zamora, the human traffickers engage in everything from child molestation and rape to extortion and fraud. READ Cologne Police Officer Confirms: It was “Refugees” 
“I think the biggest misconceptions are, ‘Hey they’re just children down there, right? It’s a humanitarian crisis,’” said Zamora, “But what I want to stress is there’s the 50 percent of the other individuals that are running, that are fighting, that have criminal records.” 
Rep. Lamar Smith (R-TX), who chairs the House Border Security Caucus, told KVUE that “If people figure they have a 95 percent chance of being allowed to stay and work and get government benefits, they’re going to come no matter what they might hear on the street or on the radio or see in a leaflet.” 
In a February 23 hearing of the Senate Judiciary Committee, Sen. John Cornyn (R-TX) asked agency Acting Chief Ronald Vitiello whether giving undocumented immigrants the impression they won’t be allowed to stay in the US without a legal claim would act as a deterrent and slow the flow of unauthorized crossings. 
“Yes, I believe that matters,” Vitiello answered.",1 (Mild),3 (Hostile),3 (Hostile),1 (Mild),4
"So words deemed offensive are only offensive if you re white? Isn t that racist? Shouldn t the same punishment be given to people no matter the color of their skin? We d love to know your thoughts on this.A high school baseball player lost his scholarship to Cal State for being overheard using the term  nigger. Meanwhile, a college basketball player kept his scholarship after being overheard using the word on live television.One was white, one was black.The leftist explanation that it s acceptable for blacks to call each other socially unacceptable epithets makes little sense. It makes about as much sense as the #BlackLivesMatter meme being created only after a handful of black deaths at the hands of white people, meanwhile thousands of black on black deaths garnered no similar sloganeering.White progressives declaring it okay for blacks to use epithets on each other is most likely their way of having the epithet used for them by proxy. It keeps blacks psychologically under-classed, but their hands are ostensibly clean. Read more: iotw",1 (Mild),3 (Hostile),1 (Mild),1 (Mild),3
"It s come to this legal citizens are being pushed aside for the  refugee  invaders. Sweden began to import refugees decades ago and now has a reputation for being a failed experiment in multiculturalism. Yes, Sweden is now the rape capital of the world. Say goodbye to Sweden A local family in the Swedish city of Liding  has been ordered by the government to leave their home so that it can be given to migrants arriving from a foreign country.Father of two teenage boys Uffe Rustan received a voicemail from his local municipality telling him he would need to vacate the property by August in order to make way for asylum seekers from the Middle East.  I was evicted from my home over the phone. When I asked for the reason, he said that people come from other countries. He left the news and basically just said have a nice weekend,  Rustan told a newspaper.Rustan lives with his teenage sons Rasmus (15) and Linus (17), all of whom were born in Liding . He rents the home from the city and has been living in it for less than a year.  It feels like I m worthless, even though I pay taxes and my kids go to school here. You cannot put a family on the streets for another family,  said Rustan.  Just when it starts to feel like home, we are evicted.  Rustan said that the news was  depressing  and wondered why native Swedes were being treated worse than migrants arriving in the country for the first time. Despite suffering from a housing shortage, Sweden is handing over property to economic migrants, with some politicians even encouraging citizens to give up their garages to asylum seekers. Sweden is not the only European government that is turfing its own citizens out of social housing to accommodate the influx of Muslim migrants. While migrants are in some cases enjoying all the comforts of good quality hotels, low income Germans are being ordered to leave their homes. As the Telegraph reported, Germans are beginning to receive notices of eviction to make way for asylum seekers.Read more: InfoWars",0 (Neutral),3 (Hostile),2 (Disrespect),1 (Mild),4
"This video is so disturbing but is a great example of ZERO PARENTING! The kids were riding the subway attacking different passengers. Patrick Coyle started recording after the kids slapped a lady. They then turned on him: (function(d, s, id) {  var js, fjs = d.getElementsByTagName(s)[0];  if (d.getElementById(id)) return;  js = d.createElement(s); js.id = id;  js.src = ""//connect.facebook.net/en_GB/sdk.js#xfbml=1&version=v2.3"";  fjs.parentNode.insertBefore(js, fjs);}(document, 'script', 'facebook-jssdk'));Please show this to the right personPosted by Patrick Coyle on Thursday, 24 March 2016",0 (Neutral),1 (Mild),1 (Mild),1 (Mild),1
"Wow! We re fast becoming like Europe with the sexual assaults of young women by Muslim men. The men probably thought the women deserved it since they weren t wearing a hijab. Michigan is one of the top five states targeted for Muslim refugee resettlement:In the last ten years, 29,141 refugees were resettled in Michigan and 18,505 were Iraqis. EAST LANSING   Two Uber drivers have been charged in connection with sexual assaults in East Lansing in January and February.Hassan Ibrahim, 48, faces one count of fourth-degree criminal sexual conduct in connection with an incident that occurred Feb. 14, according to East Lansing police. He turned himself in March 11 after a warrant had been issued for his arrest. He was arraigned the same day before Lansing 54B District Court by Judge Richard Ball.Salim Salem, 47, faces two counts of fourth-degree criminal sexual conduct in connection with an incident that occurred Jan. 16, police said, and he turned himself in Tuesday and was arraigned that day before 55th District Court Magistrate Mark Blumer.Read more: DFP",2 (Disrespect),2 (Disrespect),2 (Disrespect),1 (Mild),4
"This is really, really bad guys. Hillary Clinton has found a guaranteed way to rig the vote, and America is completely clueless. 
Via AlternativeNews 

Now, we at Liberty Writers have come across indisputable proof that Dominion Voting Systems, the biggest voting machine owner in the US, has been rigged by Hillary Clinton!
Scroll Down For Video Below! So let’s start off with a little fact from Wikipedia. Back in 2010, just in time to help Obama get elected again, Dominion Voting Machines bought out the right to own the machines in 22 different states.

The same company has also been caught red-handed donating enough money to the Clinton Foundation to make it to the top of their online donor list. Just take a look at the Clinton Foundation’s website itself.

Wow. That is just such a strange coincidence, don’t you think? Right around the same time Hillary Clinton was deciding to retire as Secretary of State and focus on her campaign, this company bought out half the voting machines in the country.
And if that is not bad enough, one of the top owners of Dominion Voting is none other than the king of corruption himself, George Soros. So if you think this is as important of information as I do, then share this out immediately! Time is of the essence…
",0 (Neutral),3 (Hostile),2 (Disrespect),1 (Mild),3
"This special edition of The Glazov Gang was joined by Sandra Solomon, an   who grew up in Saudi Arabia who is now valiantly fighting against the Islamization of the West  —   and of her new home country of Canada in particular.",1 (Mild),1 (Mild),1 (Mild),1 (Mild),1
"As usual Milwaukee s outspoken Sheriff David Clarke nails it Chicago has plunged ever further into chaos as gang violence gripped the city for yet another weekend.Under the rule of Democratic Mayor Rahm Emanuel, the city has seen some of its worst violence in over two decades. There have been more than 750 shooting deaths in 2016 alone. Over the Christmas weekend, 50 people were shot, and 12 were killed   double the number from last year. Gang violence accounts for most of the killings   nearly 90%   and the perpetrators all had long criminal histories. Most are  targeted attacks  between rival gangs, according to Chicago Police Superintendent Eddie Johnson. During his press conference on Monday, Johnson said they recovered 45 guns from the streets over the holiday weekend.These guns didn t come from law-abiding Chicagoans who face some of the strictest gun laws in the country, but from hardened criminals who don t obey laws. Johnson knows that stricter gun laws never stops violence:  These gun offenders have repeatedly shown us that they re not going to play by society s rules. So, he s calling for tougher penalties for repeat gun offenders. It s painfully obvious more gun laws will do nothing.It s time Democrat ghetto hellholes like Chicago pay attention to what s happening in their pro-gun controlled cities instead of learning the hard way that criminals don t care what laws are on the books. It s never acceptable to take away the rights of good people to offer the illusion of safety. Crack down on crime, make the punishments severe, and allow law-abiding citizens protect themselves. Via: Patheos",1 (Mild),3 (Hostile),1 (Mild),1 (Mild),3
"The election in 232 photos, 43 numbers and 131 quotes, from the two candidates at the center of it all.",0 (Neutral),1 (Mild),1 (Mild),0 (Neutral),0
"LONDON (Reuters) - British Prime Minister Theresa May will speak to U.S. President Donald Trump on Tuesday to discuss North Korea, her spokeswoman said, after it conducted its sixth and largest nuclear test two days ago.  She is due to speak to President Trump shortly,  her spokeswoman told reporters, adding that May also planned to speak to French President Emmanuel Macron about North Korea.  Earlier, a British minister summoned the North Korean ambassador to the foreign ministry to condemn the test on Sept. 3. ",0 (Neutral),0 (Neutral),1 (Mild),0 (Neutral),0
The left has had control and the narrative for waaaay too long. Here s a patriot who s 100% FED Up!,1 (Mild),2 (Disrespect),2 (Disrespect),0 (Neutral),2
Portland protesters were doing the usual idiotic tactic of blocking the street and not letting traffic proceed What they didn t realize is that the police aren t taking this anymore Watch the takedown of these punks Awesome!Check out the lady with the thumbs up! Haha!,2 (Disrespect),3 (Hostile),1 (Mild),1 (Mild),3
"Pick Your 2016 GOP Candidate -- Let Rush Know! Vote here

",0 (Neutral),0 (Neutral),0 (Neutral),0 (Neutral),0
"The protesters in NYC must be confused They yelled  tax the rich, not working people . Aren t the rich working people too? Many of the rich worked like crazy to be where they are today. Also, the rich pay plenty in taxes already. Don t you love how these people don t want anyone to be successful but want them to give away their hard-earned money?Dozens of protesters yelling  shame  gathered across the street from Cipriani on East 42nd Street early Saturday where President Trump was to attend a breakfast fundraiser. Members of SEIU aka Obama s Purple Army were out in force doing what they ve been trained to do PROTESTPresidential motorcade departs Cipriani earlier today. We will have the story later on @NY1. pic.twitter.com/uw6kWHdmH0  Shannan Ferry (@ShannanFerry) December 2, 2017 New York hates Trump,  several protesters shouted. I believe it s time to stop lining the pockets of the rich and stealing from the poor,  said John Eng, a 54-year-old real estate agent from Manhattan who was holding a sign declaring,  The poor will have to eat the rich. The protesters were particularly enraged by the Senate s early-morning passage of a $1.2 trillion tax reform bill supported by Trump. A few shouted  Kill the bill, don t kill us. That tax plan is an abomination,  said Melissa Carpenter, a 51-year-old lawyer from Bayside who wore a Guy Fawkes mask for the occasion.  He has some balls to come here. Read more NYP",1 (Mild),2 (Disrespect),1 (Mild),1 (Mild),2
"Not because she s an unlikeable elitist liar, with no fresh ideas, who felt entitled to the White House.What s even more absurd than the left s inability to accept REALITY, is the fact that no one spread more FAKE NEWS than liberals and even Hillary herself.  TruthfeedRush Limbaugh brilliantly exposes the lies Hillary told in this montage: ",2 (Disrespect),3 (Hostile),2 (Disrespect),1 (Mild),3
"LONDON (Reuters) - British Prime Minister Theresa May appointed lawmaker Julian Smith as her new Chief Whip on Thursday, promoting him to head the office which is responsible for making sure May s Conservatives vote in support of the government. Smith, 46, had previously been a deputy chief whip. He replaces Gavin Williamson who was earlier appointed as defense minister. The government said lawmaker Esther McVey would take on Smith s former role. ",0 (Neutral),0 (Neutral),0 (Neutral),0 (Neutral),0
"Reza Aslan was just in hot water over name calling President Trump but we have a flashback to end all flashbacks on this jackwagon:CNN reporter and Islamist apologist Reza Aslan did something outrageously unethical and disgusting during a report on a Hindu sect HE ATE HUMAN BRAINS! Yes, this sect just so happens be eaters of humans aka CANNIBALS!Aslan, an Iranian-born religious scholar, was with a group from the Aghori sect when he was invited to eat cooked brain tissue during a ritual. Aslan, 44, met the Aghori in the holy Hindu city of Varanasi in Uttar Pradesh, where they smeared the ashes from cremated human bodies on his face.At one point during the flesh eating scene, the host threatens to behead him and then throws sh*t at him. Disgusting and totally immoral CNN must be desperate for ratings! You have to wonder who decided it was a good idea to run this on CNN.Read more: Daily Mail",2 (Disrespect),3 (Hostile),2 (Disrespect),1 (Mild),4
"The Daily Sheeple – by Melissa Dykes 
Josh Earnest… what a stupid name for a guy who obviously thinks we’re all as stupid as he sounds at this press conference. 
When confronted with a question on the Project Veritas undercover videos showing all kinds of Dem operatives admitting on tape that they created the Trump protests and other such nasties to incite violence at Trump rallies in an attempt to throw this election Hillary’s way, Earnest told the reporter in his best condescending grown up voice that ‘we have to take these videos with not just a grain of salt but a whole bag because we can’t believe what we see…’ 
Watch for yourself. 
Don’t believe your own eyeballs. That’s the White House’s official response. That’s the best they could do. 
Again, it’s undercover video he’s talking about here. Not only that, but Robert Creamer did go to the White House over 340 times . It’s all on record. 
Come on, dammit.",3 (Hostile),2 (Disrespect),2 (Disrespect),1 (Mild),2
"MADRID (Reuters) - Pro-independence groups and trade unions in Catalonia have called for a general strike in the northeastern Spanish region for Oct. 3, La Vanguardia newspaper reported citing the head of the group Omnium Cultural Jordi Cuixart. Catalonia s economic output is worth around a fifth of Spain s total gross domestic product and the region has an economy around the size of that of Chile. ",0 (Neutral),0 (Neutral),1 (Mild),0 (Neutral),0
"This is just another example of how public schools are using a globalist approach to indoctrinate our children. Watering down the greatness of America by blurring our border lines that so many brave men fought to preserve is repulsive. Fighting back against this mentality in our PUBLIC schools should be a priority for every parent and grandparent in America!It is widely accepted that American public schools are controlled by liberals. It seems like every day, we see new examples of American schoolchildren being indoctrinated with left-wing ideas.This latest example was brought to our attention by a concerned parent.Kindergarten students from PS75, a public school in New York City, recently took part in a class project in which the children were made to create an American flag with the flags of other 22 other nations superimposed over the stripes. Below the flag read the words  We pledge allegiance to an International Flag. Check out the flag the kindergarten class created:This is the type of globalist indoctrination we have come to expect from the public school system, but telling impressionably young American children that their loyalty should lie with some nebulous idea of a global community rather than their own nation is a new low.Read more:Hannity.com",1 (Mild),2 (Disrespect),3 (Hostile),1 (Mild),3
